Store,Dept,RMSE,MAE
8,91,2408.00789143,2094.29719181
8,92,4609.06727256,3837.44450325
8,93,3365.30552699,2670.74514646
8,94,3884.49447828,3265.450715
8,95,2698.24659619,2141.94977987
8,96,5.89844599164,1.18511627907
8,97,1186.96662979,982.647320706
8,98,867.932905903,677.66799529
8,99,309.527234221,275.089753535
8,39,0.0,0.0
8,50,0.0,0.0
8,43,0.0,0.0
8,65,0.0,0.0
9,1,3050.634594,1737.61079023
9,2,1344.46561098,1066.86009804
9,3,3001.58052385,1432.97108933
9,4,1083.44128686,881.767865616
9,5,4883.29261891,3624.91143189
9,6,1539.62033908,1082.09515166
9,7,4295.68450054,2715.61164449
9,8,2128.87346502,1795.86748177
9,9,2797.28723174,2186.86927685
9,10,1652.00154078,1368.271345
9,11,2848.49589094,2046.14073743
9,12,1232.62877762,1055.82285945
9,13,2144.92296008,1846.7737724
9,14,1822.60592036,1222.96433945
9,16,4389.04134945,2777.83727983
9,17,1453.9200021,1357.35914411
9,18,2393.5611231,1558.65937514
9,19,574.101561361,356.101762795
9,20,495.760216326,404.393652119
9,21,687.257069886,520.160619273
9,22,1326.94794939,1108.90046743
9,23,1993.1711641,1372.68108865
9,24,1129.87526854,904.256813888
9,25,1078.62795894,871.939628491
9,26,1013.49797658,774.46601872
9,27,211.012448199,142.234185169
9,28,86.7445035846,65.7521423013
9,29,534.386328522,386.7911229
9,30,372.667562785,302.07381055
9,31,605.980786857,413.557780921
9,32,1812.23887927,1194.77397102
9,33,785.892517078,609.807479148
9,34,1199.93074305,1009.00043836
9,35,344.247879832,258.963434713
9,36,358.139317385,242.422019293
9,37,0.0,0.0
9,38,13276.7618335,11154.1585437
9,40,2187.17080555,1781.11505979
9,41,582.316215067,535.690159479
9,42,829.586918375,594.347743213
9,44,1099.80782653,994.99376028
9,45,5.45320296536,3.38125161289
9,46,1058.9049131,752.025997498
9,47,24.9979599012,19.076854256
9,48,713.123606932,612.142830947
9,49,56.2503643284,49.2630624899
9,51,0.70238757844,0.559501228444
9,52,540.18138692,474.551777875
9,54,67.2476816438,60.2506763774
9,55,2045.99850518,1545.29497064
9,56,1833.66838592,1024.97576358
9,58,0.0,0.0
9,59,471.538330405,463.729403714
9,60,55.6480637572,47.4455800035
9,67,1100.31279079,781.972053668
9,71,555.254141911,470.135458283
9,72,8272.70144698,5618.31369444
9,74,1200.58280015,832.35682859
9,77,46.9602608314,41.8527588058
9,78,2.77777223772,0.599069767442
9,79,974.502187916,796.814773741
9,80,30.6748679774,6.19153841241
9,81,224.923267638,186.150159335
9,82,1626.84052918,971.134685604
9,83,0.0,0.0
9,85,282.358557723,217.017558425
9,87,3733.69121443,3165.65195515
9,90,836.565368337,788.354756068
9,91,233.888399486,184.345883957
9,92,2868.5025177,2635.44335233
9,93,2.04431005278,1.54049885666
9,94,882.943288329,606.601988431
9,95,3603.99661244,2902.45072185
9,96,633.458734013,481.084035437
9,97,79.579665825,47.5372512401
9,98,23.5744735732,23.2306489295
9,99,0.0,0.0
9,39,0.0,0.0
9,50,0.0,0.0
9,43,0.0,0.0
9,65,0.0,0.0
10,1,13394.949633,7614.33083003
10,2,5277.68961599,4027.57660536
10,3,9659.23559167,5486.93426573
10,4,2422.80336665,1854.87305235
10,5,17957.2682241,13041.0814948
10,6,3559.77761448,2392.0891835
10,7,20982.0803526,11727.6086451
10,8,3403.5411303,2588.44611512
10,9,8988.0653328,7204.69031047
10,10,3970.00196706,3103.61467379
10,11,2868.659322,2150.56274112
10,12,1054.7095097,880.445606441
10,13,4100.32680143,3389.95907251
10,14,5295.71259372,3624.36883027
10,16,4074.8272806,3152.50232101
10,17,2439.16755415,2018.80675959
10,18,4834.48147829,3500.84518618
10,19,630.272899755,436.165917271
10,20,1626.08813857,1374.72084336
10,21,1577.03092137,1327.3230564
